code,year,gender,e0
AUS,1921,female,63.18
AUS,1922,female,65.11
AUS,1923,female,63.66
AUS,1924,female,64.51
AUS,1925,female,65.38
AUS,1926,female,65.07
AUS,1927,female,64.85
AUS,1928,female,64.72
AUS,1929,female,65.39
AUS,1930,female,66.9
AUS,1931,female,67.33
AUS,1932,female,67.6
AUS,1933,female,67.46
AUS,1934,female,66.69
AUS,1935,female,67.17
AUS,1936,female,67.2
AUS,1937,female,67.96
AUS,1938,female,67.93
AUS,1939,female,68.06
AUS,1940,female,68.64
AUS,1941,female,68.23
AUS,1942,female,67.89
AUS,1943,female,68.25
AUS,1944,female,69.79
AUS,1945,female,70.28
AUS,1946,female,70.15
AUS,1947,female,70.96
AUS,1948,female,71
AUS,1949,female,71.78
AUS,1950,female,71.72
AUS,1951,female,71.59
AUS,1952,female,72.04
AUS,1953,female,72.56
AUS,1954,female,72.79
AUS,1955,female,73.25
AUS,1956,female,73.05
AUS,1957,female,73.46
AUS,1958,female,74.02
AUS,1959,female,73.74
AUS,1960,female,74.05
AUS,1961,female,74.52
AUS,1962,female,74.29
AUS,1963,female,74.3
AUS,1964,female,73.97
AUS,1965,female,74.24
AUS,1966,female,74.07
AUS,1967,female,74.56
AUS,1968,female,74.23
AUS,1969,female,74.69
AUS,1970,female,74.18
AUS,1971,female,74.9
AUS,1972,female,75.31
AUS,1973,female,75.71
AUS,1974,female,75.5
AUS,1975,female,76.41
AUS,1976,female,76.41
AUS,1977,female,77.06
AUS,1978,female,77.33
AUS,1979,female,77.99
AUS,1980,female,78.22
AUS,1981,female,78.43
AUS,1982,female,78.29
AUS,1983,female,78.82
AUS,1984,female,78.84
AUS,1985,female,78.67
AUS,1986,female,79.31
AUS,1987,female,79.34
AUS,1988,female,79.6
AUS,1989,female,79.38
AUS,1990,female,80.15
AUS,1991,female,80.49
AUS,1992,female,80.48
AUS,1993,female,80.99
AUS,1994,female,80.82
AUS,1995,female,81.13
AUS,1996,female,81.26
AUS,1997,female,81.38
AUS,1998,female,81.86
AUS,1999,female,82.05
AUS,2000,female,82.28
AUS,2001,female,82.62
AUS,2002,female,82.55
AUS,2003,female,82.93
AUS,2004,female,83.19
AUS,2005,female,83.5
AUS,2006,female,83.61
AUS,2007,female,83.56
AUS,2008,female,83.74
AUS,2009,female,84.05
AUS,2010,female,84.25
AUS,2011,female,84.31
AUS,2012,female,84.38
AUS,2013,female,84.71
AUS,2014,female,84.59
